Information: Updating design information... (UID-85)
 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
Design : RCA
Version: O-2018.06-SP4
Date   : Sat Jan  8 19:07:21 2022
  FAx_10/U3/ZN (NOR2_X1)                   0.03       0.86 f
  FAx_10/U1/ZN (NOR2_X2)                   0.05       0.91 r
  FAx_10/cout (full_adder_21)              0.00       0.91 r
  FAx_11/cin (full_adder_20)               0.00       0.91 r
  FAx_11/U3/ZN (NOR2_X1)                   0.03       0.94 f
  FAx_11/U1/ZN (NOR2_X2)                   0.05       0.99 r
  FAx_11/cout (full_adder_20)              0.00       0.99 r
  FAx_12/cin (full_adder_19)               0.00       0.99 r
  FAx_12/U4/ZN (AOI21_X1)                  0.03       1.03 f
  FAx_12/U1/ZN (NOR2_X1)                   0.05       1.08 r
  FAx_12/cout (full_adder_19)              0.00       1.08 r
  FAx_13/cin (full_adder_18)               0.00       1.08 r
  FAx_13/U3/ZN (NOR2_X1)                   0.03       1.11 f
  FAx_13/U1/ZN (NOR2_X1)                   0.06       1.17 r
  FAx_13/cout (full_adder_18)              0.00       1.17 r
  FAx_14/cin (full_adder_17)               0.00       1.17 r
  FAx_14/U3/ZN (AOI21_X1)                  0.04       1.21 f
  FAx_14/U1/ZN (NOR2_X2)                   0.05       1.25 r
  FAx_14/cout (full_adder_17)              0.00       1.25 r
  FAx_15/cin (full_adder_16)               0.00       1.25 r
  FAx_15/U3/ZN (NOR2_X1)                   0.03       1.29 f
  FAx_15/U1/ZN (NOR2_X2)                   0.05       1.34 r
  FAx_15/cout (full_adder_16)              0.00       1.34 r
  FAx_16/cin (full_adder_15)               0.00       1.34 r
  FAx_16/U3/ZN (NOR2_X1)                   0.03       1.37 f
  FAx_16/U1/ZN (NOR2_X2)                   0.05       1.42 r
  FAx_16/cout (full_adder_15)              0.00       1.42 r
  FAx_17/cin (full_adder_14)               0.00       1.42 r
  FAx_17/U3/ZN (NOR2_X1)                   0.03       1.45 f
  FAx_17/U1/ZN (NOR2_X2)                   0.05       1.51 r
  FAx_17/cout (full_adder_14)              0.00       1.51 r
  FAx_18/cin (full_adder_13)               0.00       1.51 r
  FAx_18/U3/ZN (NOR2_X1)                   0.03       1.54 f
  FAx_18/U1/ZN (NOR2_X2)                   0.05       1.59 r
  FAx_18/cout (full_adder_13)              0.00       1.59 r
  FAx_19/cin (full_adder_12)               0.00       1.59 r
  FAx_19/U4/ZN (NOR2_X1)                   0.03       1.62 f
  FAx_19/U1/ZN (NOR2_X2)                   0.05       1.68 r
  FAx_19/cout (full_adder_12)              0.00       1.68 r
  FAx_20/cin (full_adder_11)               0.00       1.68 r
  FAx_20/U3/ZN (NOR2_X1)                   0.03       1.71 f
  FAx_20/U1/ZN (NOR2_X2)                   0.05       1.76 r
  FAx_20/cout (full_adder_11)              0.00       1.76 r
  FAx_21/cin (full_adder_10)               0.00       1.76 r
  FAx_21/U3/ZN (NOR2_X1)                   0.03       1.79 f
  FAx_21/U1/ZN (NOR2_X2)                   0.05       1.85 r
  FAx_21/cout (full_adder_10)              0.00       1.85 r
  FAx_22/cin (full_adder_9)                0.00       1.85 r
  FAx_22/U3/ZN (NOR2_X1)                   0.03       1.88 f
  FAx_22/U1/ZN (NOR2_X2)                   0.05       1.93 r
  FAx_22/cout (full_adder_9)               0.00       1.93 r
  FAx_23/cin (full_adder_8)                0.00       1.93 r
  FAx_23/U3/ZN (NOR2_X1)                   0.03       1.96 f
  FAx_23/U1/ZN (NOR2_X2)                   0.05       2.02 r
  FAx_23/cout (full_adder_8)               0.00       2.02 r
  FAx_24/cin (full_adder_7)                0.00       2.02 r
  FAx_24/U3/ZN (NOR2_X1)                   0.03       2.05 f
  FAx_24/U1/ZN (NOR2_X2)                   0.05       2.10 r
  FAx_24/cout (full_adder_7)               0.00       2.10 r
  FAx_25/cin (full_adder_6)                0.00       2.10 r
  FAx_25/U3/ZN (NOR2_X1)                   0.03       2.13 f
  FAx_25/U1/ZN (NOR2_X2)                   0.05       2.19 r
  FAx_25/cout (full_adder_6)               0.00       2.19 r
  FAx_26/cin (full_adder_5)                0.00       2.19 r
  FAx_26/U3/ZN (NOR2_X1)                   0.03       2.22 f
  FAx_26/U1/ZN (NOR2_X2)                   0.05       2.27 r
  FAx_26/cout (full_adder_5)               0.00       2.27 r
  FAx_27/cin (full_adder_4)                0.00       2.27 r
  FAx_27/U3/ZN (NOR2_X1)                   0.03       2.30 f
  FAx_27/U1/ZN (NOR2_X2)                   0.05       2.36 r
  FAx_27/cout (full_adder_4)               0.00       2.36 r
  FAx_28/cin (full_adder_3)                0.00       2.36 r
  FAx_28/U3/ZN (NOR2_X1)                   0.03       2.39 f
  FAx_28/U1/ZN (NOR2_X2)                   0.05       2.44 r
  FAx_28/cout (full_adder_3)               0.00       2.44 r
  FAx_29/cin (full_adder_2)                0.00       2.44 r
  FAx_29/U3/ZN (NOR2_X1)                   0.03       2.47 f
  FAx_29/U1/ZN (NOR2_X2)                   0.05       2.52 r
  FAx_29/cout (full_adder_2)               0.00       2.52 r
  FAx_30/cin (full_adder_1)                0.00       2.52 r
  FAx_30/U3/ZN (NOR2_X1)                   0.03       2.55 f
  FAx_30/U1/ZN (NOR2_X2)                   0.05       2.61 r
  FAx_30/cout (full_adder_1)               0.00       2.61 r
  FAx_31/cin (full_adder_0)                0.00       2.61 r
  FAx_31/U1/Z (CLKBUF_X1)                  0.04       2.65 r
  FAx_31/U6/Z (XOR2_X1)                    0.07       2.73 r
  FAx_31/sum (full_adder_0)                0.00       2.73 r
  sum[31] (out)                            0.02       2.75 r
  data arrival time                                   2.75
  -----------------------------------------------------------
  (Path is unconstrained)


1
